JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
2.5	4.8	7.1	8.5	13.1	12.7	17.8	18.4	14.8	9.5	9.2	6.3
5.6	4.5	6.7	7.900001	11	15.2	16.7	18	14	9.1	5.9	6.6
4.9	5.6	8.7	7.4	11.4	15.3	18.8	18.7	13.9	12.1	9.7	6.9
5.3	7	7.1	9.3	12.6	15.3	19.1	18.8	13.6	14.1	8.6	6.1
5.7	4.1	6.599999	9.1	10.4	16.3	17.9	17	14.1	11.6	7.5	5
3.3	7.5	9.5	10.6	12.2	13.8	16.9	19.1	17	13.5	8.5	6
5.8	6.8	8.6	7.200001	12	15.2	17.3	18.9	15.6	11.2	6.8	4.6
5.2	5	7.3	8.900001	12.8	15.1	18.8	18.4	16	11.7	6.9	5.5
3.1	7.3	7.4	7.4	12.5	16.1	16.5	17.9	16	11.1	7.4	7.4
5.7	5.8	8.7	8.400001	11.9	16	17	18.3	14.7	13.4	6.1	2.6
5.9	6.7	8	9	10.6	15.5	16.8	16.9	15.3	12.2	8.5	7.5
