Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
0.374	0.45	0.572	0.627	0.799	1.134	1.342	1.385	1.096	0.747	0.418	0.299
0.342	0.509	0.657	0.714	0.842	1.132	1.534	1.504	1.279	0.724	0.411	0.322
0.331	0.439	0.635	0.764	0.951	1.273	1.453	1.393	1.06	0.694	0.406	0.303
0.314	0.457	0.538	0.66	0.86	1.355	1.969	1.613	1.142	0.637	0.385	0.304
0.264	0.36	0.575	0.729	0.897	1.318	1.827	1.634	1.213	0.679	0.35	0.286
0.264	0.334	0.517	0.578	0.835	1.18	1.595	1.734	1.251	0.703	0.426	0.259
0.26	0.324	0.428	0.602	0.818	1.364	1.669	1.584	1.18	0.734	0.417	0.335
0.315	0.347	0.477	0.564	0.795	1.096	1.544	1.716	1.261	0.705	0.436	0.319
0.297	0.394	0.487	0.645	0.812	1.019	1.757	1.958	1.278	0.77	0.432	0.287
0.327	0.421	0.46	0.547	0.775	1.154	1.655	1.505	1.315	0.823	0.465	0.351
0.326	0.469	0.547	0.634	0.681	1.065	1.501	1.496	1.273	0.747	0.48	0.322
0.341	0.388	0.52	0.573	0.711	0.992	1.294	1.459	1.136	0.697	0.45	0.397
0.389	0.447	0.522	0.653	0.914	1.108	1.517	1.436	1.093	0.645	0.41	0.316
0.355	0.467	0.722	0.737	0.839	1.278	1.505	1.34	0.996	0.662	0.436	0.311
0.282	0.479	0.565	0.702	0.879	1.187	1.545	1.409	1.043	0.567	0.403	0.294
0.265	0.399	0.604	0.697	0.922	1.231	1.56	1.572	1.118	0.586	0.391	0.303
0.246	0.34	0.508	0.607	0.771	1.277	1.702	1.589	1.2	0.757	0.402	0.314
0.268	0.366	0.473	0.632	0.924	1.371	1.767	1.669	1.241	0.751	0.389	0.315
0.273	0.398	0.497	0.714	0.973	1.457	1.715	1.873	1.181	0.709	0.437	0.286
0.37	0.379	0.518	0.637	0.901	1.223	1.7	1.699	1.3	0.695	0.494	0.33
0.29	0.443	0.592	0.779	0.845	1.257	1.729	1.607	1.488	0.941	0.452	0.342
0.332	0.448	0.494	0.543	0.638	1.066	1.675	1.533	1.33	0.817	0.508	0.357
0.348	0.341	0.488	0.745	0.794	1.184	1.57	1.583	1.222	0.822	0.609	0.397
0.386	0.491	0.709	0.669	0.758	1.108	1.43	1.428	1.257	0.838	0.612	0.377
0.401	0.553	0.609	0.862	0.85	1.206	1.628	1.517	1.085	0.742	0.447	0.347
0.392	0.512	0.699	0.767	0.913	1.285	1.627	1.447	1.115	0.663	0.44	0.298
0.273	0.365	0.555	0.705	0.744	1.191	1.586	1.323	1.063	0.558	0.337	0.345
0.278	0.435	0.617	0.72	0.968	1.454	1.671	1.464	1	0.64	0.406	0.293
0.304	0.413	0.658	0.708	1.128	1.154	1.656	1.767	1.209	0.62	0.429	0.31
0.252	0.337	0.477	0.643	0.884	1.247	1.754	1.572	1.237	0.813	0.458	0.289
0.255	0.327	0.492	0.741	0.989	1.232	1.739	1.794	1.281	0.779	0.41	0.288
0.282	0.23	0.466	0.526	0.839	1.101	1.598	1.546	1.214	0.739	0.425	0.296
0.308	0.383	0.538	0.575	0.706	1.025	1.623	1.683	1.336	0.827	0.444	0.339
0.312	0.41	0.48	0.559	0.838	1.002	1.442	1.48	1.36	0.765	0.495	0.318
0.335	0.429	0.462	0.614	0.673	1.061	1.556	1.464	1.031	0.696	0.443	0.329
0.335	0.398	0.519	0.674	0.847	1.138	1.359	1.368	1.111	0.531	0.412	0.292
0.288	0.663	0.871	0.703	1.036	1.185	1.379	1.423	1.219	0.607	0.394	0.431
0.376	0.434	0.474	0.704	0.932	1.327	1.447	1.612	1.193	0.737	0.263	0.243
0.235	0.22	0.549	0.69	0.951	1.122	1.628	1.247	0.924	0.815	0.418	0.217
0.22	0.432	0.505	0.705	1.381	1.324	1.823	1.637	1.422	0.533	0.387	0.226
0.264	0.241	0.554	0.699	1.214	1.492	1.571	1.651	0.879	0.643	0.332	0.348
0.375	0.441	0.537	0.666	1.051	1.221	1.648	1.687	1.515	0.543	0.282	0.321
0.251	0.348	0.632	0.583	0.721	1.163	1.969	1.681	1.195	0.893	0.424	0.242
0.36	0.346	0.42	0.567	0.747	1.343	1.737	1.624	1.169	1.087	0.503	0.351
0.339	0.244	0.441	0.555	0.683	0.939	1.822	1.637	0.892	0.834	0.416	0.297
0.351	0.408	0.404	0.583	0.773	1.098	1.607	1.477	1.608	0.795	0.668	0.209
0.256	0.454	0.431	0.565	0.575	0.84	1.341	1.306	1.25	0.954	0.46	0.379
0.275	0.339	0.488	0.647	0.76	1.003	1.364	1.277	0.94	0.626	0.478	0.277
0.357	0.424	0.676	0.747	0.853	1.08	1.269	1.493	1.031	0.679	0.495	0.325
0.323	0.36	0.533	0.645	0.893	1.148	1.518	1.343	0.978	0.526	0.407	0.299
0.311	0.404	0.454	0.712	0.793	1.245	1.732	1.418	0.864	0.658	0.392	0.205
0.283	0.393	0.623	0.678	1.086	1.657	1.701	1.561	0.993	0.487	0.294	0.385
0.297	0.381	0.587	0.745	0.773	1.081	1.34	1.315	1.268	0.645	0.379	0.35
0.276	0.384	0.518	0.612	0.746	1.117	1.743	1.877	1.466	0.737	0.355	0.355
0.455	0.361	0.448	0.538	0.948	1.328	1.834	1.74	1.308	0.598	0.385	0.305
0.335	0.345	0.457	0.553	0.733	1.056	1.542	1.713	1.498	0.787	0.478	0.327
0.363	0.405	0.499	0.506	0.627	1.354	1.53	1.756	1.308	0.871	0.652	0.435
0.382	0.36	0.544	0.717	0.812	1.102	1.527	1.556	1.206	0.658	0.422	0.333
0.33	0.391	0.631	0.573	0.617	1.173	1.34	1.242	1.449	0.948	0.599	0.448
0.336	0.472	0.48	0.903	0.514	0.97	1.527	1.296	1.109	0.672	0.37	0.349
0.331	0.57	0.559	0.759	0.738	1.191	1.61	1.448	1.538	0.967	0.418	0.303
0.31	0.515	0.576	0.537	1.081	1.255	1.665	1.447	1.196	0.641	0.392	0.345
0.438	0.423	0.725	0.751	1.077	1.269	1.539	1.619	1.349	0.52	0.434	0.371
0.304	0.417	0.599	0.643	0.783	1.007	1.519	1.644	1.294	0.719	0.477	0.239
0.253	0.382	0.614	0.554	1.128	1.537	2.085	1.858	1.182	0.807	0.52	0.438
0.173	0.437	0.646	0.591	1.114	1.491	2.257	2.063	1.593	0.656	0.389	0.314
0.295	0.365	0.459	0.597	0.896	1.41	1.921	2.161	1.444	0.647	0.442	0.381
0.286	0.383	0.518	0.661	1.013	0.894	1.84	1.871	1.357	0.685	0.471	0.389
0.25	0.415	0.53	0.488	0.776	1.207	1.717	1.941	1.166	0.652	0.485	0.365
0.31	0.364	0.624	0.584	0.782	1.274	1.787	1.737	1.076	0.81	0.51	0.373
0.395	0.43	0.671	0.785	1.034	1.257	1.676	1.684	1.028	0.961	0.622	0.475
0.342	0.438	0.633	0.76	0.892	1.441	1.651	1.473	1.14	0.747	0.529	0.469
0.341	0.57	0.897	1.003	0.969	1.033	1.409	1.443	1.335	0.867	0.446	0.387
0.425	0.542	0.772	0.586	0.848	1.293	1.621	1.703	0.998	0.639	0.483	0.318
0.31	0.451	0.601	0.76	0.983	1.406	1.772	1.549	1.031	0.595	0.408	0.34
0.279	0.531	0.719	0.595	0.988	1.561	1.671	1.615	1.217	0.658	0.357	0.321
0.319	0.441	0.565	0.777	1.033	1.713	1.679	1.791	1.24	0.723	0.363	0.286
0.299	0.415	0.602	0.794	0.92	1.577	1.854	1.657	1.306	0.783	0.396	0.373
0.339	0.324	0.645	0.788	1.113	1.766	2.055	2.162	1.625	0.734	0.458	0.364
0.381	0.398	0.49	0.61	0.881	1.746	1.952	1.851	1.604	0.898	0.388	0.373
0.271	0.338	0.531	0.653	1.032	1.64	1.951	2.012	1.449	0.823	0.482	0.377
0.323	0.416	0.649	0.745	1.03	1.46	1.999	1.743	1.446	0.898	0.639	0.393
0.312	0.474	0.593	0.666	0.845	1.083	1.501	1.57	1.375	0.817	0.519	0.405
0.418	0.574	0.623	0.792	0.763	1.223	1.548	1.595	1.217	0.765	0.389	0.402
0.384	0.502	0.774	0.66	1.099	1.452	1.671	1.766	1.384	0.932	0.52	0.388
0.372	0.421	0.604	0.903	1.028	1.331	1.922	1.782	1.31	0.739	0.443	0.45
0.343	0.409	0.612	0.982	1.306	1.519	1.772	1.771	1.361	0.889	0.42	0.347
0.294	0.382	0.759	0.704	1.249	1.739	1.889	1.99	1.406	0.712	0.469	0.326
0.319	0.419	0.642	0.806	0.926	1.414	2.23	1.964	1.462	0.805	0.45	0.32
0.329	0.383	0.651	0.906	1.097	1.706	1.839	1.981	1.577	1.046	0.479	0.349
0.306	0.378	0.599	0.84	1.147	1.837	2.279	2.062	1.461	0.894	0.538	0.389
0.408	0.432	0.563	0.683	0.898	1.399	1.98	2.173	1.666	1.077	0.521	0.4
0.381	0.478	0.592	0.842	1.068	1.608	1.896	2.03	1.48	1.066	0.545	0.401
0.366	0.444	0.512	0.656	0.852	1.23	1.731	2	1.816	0.967	0.549	0.423
0.436	0.546	0.712	0.708	0.965	1.295	1.925	1.885	1.476	0.916	0.537	0.487
